id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524,-71.02936,Entire home/apt,125,30,15,2019-2-22,0.28,2,150
5506,**$79 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,106,2019-10-31,0.82,6,38
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,115,2019-11-2,0.92,6,29
6976,Mexican Folk Art Showcase in Boston Neighborhood,16701,Phil,,Roslindale,42.29244,-71.13577,Private room,65,29,83,2019-8-11,0.66,1,139
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,32,24,2019-9-30,0.37,10,186
9273,"Stay at ""HARBORVIEW"" Walk to subway",4804,Frank,,East Boston,42.36461,-71.02902,Entire home/apt,225,7,14,2016-10-23,0.13,2,146
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,32,30,2019-9-14,0.24,10,230
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,,Back Bay,42.34973,-71.08792,Entire home/apt,84,90,9,2019-7-22,0.19,11,336
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,179,33,76,2019-11-6,1.78,11,0
10986,Waterfront/North End Furnished Large Studio Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,125,33,2,2016-5-23,0.05,11,364
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.32329,-71.0621,Entire home/apt,150,32,52,2019-10-5,0.45,22,341
22195,Copley House - Premium Studio,85130,Copley,,Back Bay,42.34558,-71.0793,Private room,115,1,10,2015-6-8,0.09,6,361
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,314,2019-11-4,3.1,5,84
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,Gretchen,,North End,42.36366,-71.05023,Entire home/apt,275,2,103,2019-10-3,0.93,1,192
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31557,-71.11483,Entire home/apt,185,3,18,2019-10-23,0.27,1,342
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37834,-71.06663,Entire home/apt,221,2,93,2018-10-21,0.8,3,260
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.34633,-71.08832,Entire home/apt,165,4,153,2019-8-14,1.34,1,0
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,95,6,75,2019-11-4,0.67,1,112
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.37655,-71.06677,Entire home/apt,184,2,82,2019-4-16,0.73,3,226
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,3,129,2019-11-2,1.15,1,71
57156,3 Room Cottage in Boston,271947,Bill,,Dorchester,42.31004,-71.04942,Entire home/apt,105,28,49,2019-8-2,0.47,1,242
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584,-71.08927,Private room,75,2,141,2019-8-13,1.3,5,49
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35712,-71.0618,Entire home/apt,175,32,18,2018-11-5,0.25,10,229
66288,Architects Live-in Studio in Boston,324630,Sean,,Mission Hill,42.33215,-71.10674,Entire home/apt,79,1,679,2019-8-22,6.3,1,0
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35867,-71.06332,Entire home/apt,110,32,44,2019-10-30,0.52,10,270
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.32614,-71.0884,Private room,79,2,119,2019-11-9,1.15,5,67
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853,-71.06177,Private room,140,2,54,2019-11-2,0.54,1,361
77691,Beautiful Victorian House /Room B,119019,Hermina,,Dorchester,42.29771,-71.05979,Private room,65,29,325,2019-11-2,3.06,7,364
91588,Sunny Private Bedroom. 7 minute walk to Redline T.,494453,Dave,,Dorchester,42.31358,-71.04697,Private room,68,1,229,2019-11-4,2.21,2,294
95453,Royal Street Studio: Allston,508268,Richard,,Allston,42.35937,-71.13156,Entire home/apt,175,5,41,2019-10-13,0.39,1,365
163941,$99* SPECIAL* 2 bed ApT! Location!,8229,Terry,,Roxbury,42.32965,-71.09503,Entire home/apt,225,3,225,2019-11-5,2.24,6,3
169430,Stylish + Comfortable Urban Victorian,807320,Kate,,Roxbury,42.32158,-71.09047,Entire home/apt,200,2,147,2019-11-3,1.46,1,9
179244,Room in Beautiful Townhouse /G,119019,Hermina,,Dorchester,42.2978,-71.05893,Private room,75,29,93,2019-5-26,0.93,7,171
179245,Room in Beautiful Townhouse /F,119019,Hermina,,Dorchester,42.29915,-71.05879,Private room,65,29,66,2019-11-15,0.66,7,0
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.31039,-71.06907,Entire home/apt,55,7,66,2019-8-6,0.66,1,153
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.3132,-71.11832,Private room,85,30,42,2019-10-31,0.42,1,77
197972,Perfect Location--Super Studio!,965697,Chris & Kristina,,Jamaica Plain,42.31732,-71.10834,Entire home/apt,90,2,385,2019-10-21,3.91,2,343
205095,Private room near Longwood medical,1008058,Adnaan,,Dorchester,42.28571,-71.09054,Private room,75,1,14,2014-11-10,0.14,1,0
205894,Beautiful Victorian House/Room D,119019,Hermina,,Dorchester,42.29849,-71.0588,Private room,55,29,204,2019-9-30,2.04,7,357
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31864,-71.10641,Entire home/apt,110,3,190,2019-11-8,1.91,1,186
211921,Boston Loft: 7 Skylights!,1092168,Meg,,Roslindale,42.28143,-71.12576,Entire home/apt,300,45,68,2015-6-15,0.69,1,365
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36539,-71.05438,Private room,95,2,250,2019-11-13,2.52,1,89
225224,4th floor office room,85770,Robert,,South End,42.34643,-71.07503,Private room,105,2,316,2019-11-4,3.2,5,84
225834,Skyline View to Boston,1176995,Duane,,Roslindale,42.28053,-71.13084,Private room,65,28,53,2018-6-25,0.53,2,324
225979,Cozy Room & Fresh Roasted Coffee,1176995,Duane,,Roslindale,42.28145,-71.12925,Private room,55,28,100,2019-10-8,1.01,2,344
257588,BOSTON LUXURY FOR LESS!!! NEAR BCEC,1355344,Meri,,South Boston,42.33066,-71.03984,Entire home/apt,200,1,323,2019-11-10,3.61,1,237
276450,19th Century Luxury | South End | 1BR 1BA #3,814298,Short Term Rentals Boston,,Roxbury,42.33814,-71.08001,Entire home/apt,167,30,92,2019-10-28,1,95,89
295285,"Single Bedroom, Quiet Neighborhood",1271326,Tom,,West Roxbury,42.28719,-71.16816,Private room,80,1,27,2019-8-23,0.34,1,194
307571,Beacon Hill Floorthrough Brownstone,26988,Anne,,Beacon Hill,42.35881,-71.06547,Entire home/apt,150,30,17,2018-7-30,0.43,10,293
311240,"(Just Upgraded) Upscale Back Bay Home, River Views",1600541,Marina,,Back Bay,42.35262,-71.08051,Entire home/apt,250,28,201,2019-10-31,2.13,1,159
315982,Beautiful Two BR & Two Bathroom Townhouse,119019,Hermina,,Dorchester,42.29929,-71.05997,Entire home/apt,196,29,280,2019-11-15,2.98,7,0
322593,"""Chef""Kitch, 12 MintoPru, Patio, 50% off 29+days",1651480,Edward,,South End,42.34349,-71.0768,Entire home/apt,193,29,404,2019-11-12,4.99,4,240
332225,"Beautiful house w/ Hot Tub, Parking & Yard!",1693497,Ken,,Jamaica Plain,42.29129,-71.11396,Entire home/apt,149,2,46,2017-8-20,0.53,1,0
349347,Experience Past|Enjoy Present|South End Studio #2,814298,Short Term Rentals Boston,,Roxbury,42.33824,-71.08172,Entire home/apt,167,30,111,2019-9-19,1.21,95,117
349409,Family Home in Great Area,1770277,Genevieve,,Jamaica Plain,42.32443,-71.10652,Entire home/apt,250,5,5,2015-8-24,0.06,1,0
377474,Beautiful Victorian House,119019,Hermina,,Dorchester,42.29839,-71.05931,Entire home/apt,385,29,25,2019-10-21,0.28,7,362
381187,Urban home in best JP location w AC,1912147,Pamela,,Jamaica Plain,42.31417,-71.11541,Entire home/apt,375,3,12,2015-10-4,0.13,1,0
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30088,-71.0819,Private room,60,3,24,2019-10-7,0.31,4,299
403587,Beautiful 2 bedroom apt sleeps 7,887148,Dawn,,Charlestown,42.38291,-71.06956,Entire home/apt,595,2,2,2014-3-27,0.02,6,364
431434,Boston Brownstone (South Boston),980059,Ben,,South Boston,42.33533,-71.05168,Entire home/apt,200,2,7,2014-6-13,0.08,1,0
442735,South End Brownstone Family Home,1592221,Sarah,,South End,42.34362,-71.06799,Entire home/apt,250,2,70,2019-9-1,0.77,1,71
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31713,-71.10966,Private room,71,3,311,2019-11-10,3.45,1,248
475988,"Lovely private, 20 mins to dwntwn, near parks +T!",2359572,Kelly,,Jamaica Plain,42.3044,-71.11442,Entire home/apt,207,1,15,2018-10-28,0.6,1,0
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.3092,-71.11836,Private room,200,2,16,2016-6-26,0.21,1,0
519272,"Cozy Room + Private Bath, JP Boston",2444900,David,,Jamaica Plain,42.30511,-71.10643,Private room,62,3,9,2016-5-31,0.13,1,0
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34523,-71.07282,Private room,148,2,175,2019-10-31,1.94,5,90
530983,The Grand View | 5BR 2BA | Victorian Home,71783,Lance,,Dorchester,42.31419,-71.06001,Entire home/apt,175,32,67,2019-10-29,0.78,22,224
533114,The Sawyer | 2BR 2.5BA | 1st Floor,71783,Lance,,Dorchester,42.31167,-71.06168,Entire home/apt,168,28,53,2019-9-5,0.6,22,154
533152,The Penthouse | 2BR 1BA | 4th Floor,71783,Lance,,Dorchester,42.32189,-71.06183,Entire home/apt,125,32,54,2019-6-13,0.79,22,319
536865,COZY 2 BEDROOM IN GREATER BOSTON,2618808,Curtis,,Dorchester,42.31086,-71.06815,Entire home/apt,115,2,310,2019-11-4,3.47,2,352
561769,The Sky View | 3BR 1BA | 3rd Floor,71783,Lance,,Dorchester,42.31324,-71.06242,Entire home/apt,142,32,59,2019-9-2,0.67,22,234
